citing_assignee,titleFull
ABBOTT RYAN,DIAGNOSIS; SURGERY; IDENTIFICATION
AGARWAL AMIT,DIAGNOSIS; SURGERY; IDENTIFICATION
BARRIGAR FREDERICK,DIAGNOSIS; SURGERY; IDENTIFICATION
BLOOM ENERGY CORP,"PROCESSES OR MEANS, e.g. BATTERIES, FOR THE DIRECT CONVERSION OF CHEMICAL ENERGY INTO ELECTRICAL ENERGY"
BURRIGHT ERIC,"MEASURING OR TESTING PROCESSES INVOLVING ENZYMES, NUCLEIC ACIDS OR MICROORGANISMS; COMPOSITIONS OR TEST PAPERS THEREFOR; PROCESSES OF PREPARING SUCH COMPOSITIONS; CONDITION-RESPONSIVE CONTROL IN MICROBIOLOGICAL OR ENZYMOLOGICAL PROCESSES"
CALLAS PETER,DIAGNOSIS; SURGERY; IDENTIFICATION
CANTU R ALFREDO,DIAGNOSIS; SURGERY; IDENTIFICATION
CRYSTAL IS INC,SEMICONDUCTOR DEVICES NOT COVERED BY CLASS H10
CRYSTAL IS INC,SINGLE-CRYSTAL GROWTH; UNIDIRECTIONAL SOLIDIFICATION OF EUTECTIC MATERIAL OR UNIDIRECTIONAL DEMIXING OF EUTECTOID MATERIAL; REFINING BY ZONE-MELTING OF MATERIAL; PRODUCTION OF A HOMOGENEOUS POLYCRYSTALLINE MATERIAL WITH DEFINED STRUCTURE; SINGLE CRYSTALS OR HOMOGENEOUS POLYCRYSTALLINE MATERIAL WITH DEFINED STRUCTURE; AFTER-TREATMENT OF SINGLE CRYSTALS OR A HOMOGENEOUS POLYCRYSTALLINE MATERIAL WITH DEFINED STRUCTURE; APPARATUS THEREFOR
FARAPULSE INC,ELECTROTHERAPY; MAGNETOTHERAPY; RADIATION THERAPY; ULTRASOUND THERAPY
GRANDUSKY JAMES R,SEMICONDUCTOR DEVICES NOT COVERED BY CLASS H10
KAEMMERER WILLIAM F,"MEASURING OR TESTING PROCESSES INVOLVING ENZYMES, NUCLEIC ACIDS OR MICROORGANISMS; COMPOSITIONS OR TEST PAPERS THEREFOR; PROCESSES OF PREPARING SUCH COMPOSITIONS; CONDITION-RESPONSIVE CONTROL IN MICROBIOLOGICAL OR ENZYMOLOGICAL PROCESSES"
KENDALE AMAR,DIAGNOSIS; SURGERY; IDENTIFICATION
LAMBERTI JOSEPH N,DIAGNOSIS; SURGERY; IDENTIFICATION
LIN ARTHUR,DIAGNOSIS; SURGERY; IDENTIFICATION
LIU SHIWEN,SEMICONDUCTOR DEVICES NOT COVERED BY CLASS H10
MAQUET CARDIOVASCULAR LLC,DIAGNOSIS; SURGERY; IDENTIFICATION
PEREZ JUAN I,DIAGNOSIS; SURGERY; IDENTIFICATION
SANGAMO THERAPEUTICS INC,PEPTIDES
SANGAMO THERAPEUTICS INC,"PREPARATIONS FOR MEDICAL, DENTAL OR TOILETRY PURPOSES"
SANGAMO THERAPEUTICS INC,SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS
SCHOWALTER LEO J,SEMICONDUCTOR DEVICES NOT COVERED BY CLASS H10
SMART JOSEPH A,SEMICONDUCTOR DEVICES NOT COVERED BY CLASS H10
STEWART MICHAEL C,DIAGNOSIS; SURGERY; IDENTIFICATION
US HEALTH,PEPTIDES
VAN BILSEN PAUL,"MEASURING OR TESTING PROCESSES INVOLVING ENZYMES, NUCLEIC ACIDS OR MICROORGANISMS; COMPOSITIONS OR TEST PAPERS THEREFOR; PROCESSES OF PREPARING SUCH COMPOSITIONS; CONDITION-RESPONSIVE CONTROL IN MICROBIOLOGICAL OR ENZYMOLOGICAL PROCESSES"
VILLAGOMEZ FRED,DIAGNOSIS; SURGERY; IDENTIFICATION
VIVANT MEDICAL INC,DIAGNOSIS; SURGERY; IDENTIFICATION
