Apex Global Brands Inc,23781.42
BIO-key International, Inc,10988.14
CBAK Energy Technology, Inc,86223.32
China Ceramics Co, Ltd,4366.80
Correvio Pharma Corp,145247.83
CounterPath Corporation,375.49
DASAN Zhone Solutions, Inc,15578.66
Future FinTech Group Inc,9.85
Frontier Communications Corporation,254397.63
Ideanomics, Inc,10.28
Ocean Power Technologies, Inc,254.15
Pacific Ethanol, Inc,10706.72
Synthesis Energy Systems, Inc,2390.51
Sunesis Pharmaceuticals, Inc,781.82
Sypris Solutions, Inc,36836.36
